fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
29146,20031112,Pedal cyclist,Male,58,40_to_64
29147,20034042,Driver,Male,23,17_to_25
29148,20031255,Driver,Female,58,40_to_64
29149,20034123,Motorcycle rider,Male,38,26_to_39
29150,20032150,Motorcycle rider,Male,30,26_to_39
29151,20035142,Passenger,Male,32,26_to_39
29152,20031380,Driver,Male,74,65_to_74
29153,20036018,Motorcycle rider,Male,43,40_to_64
29154,20032125,Passenger,Male,17,17_to_25
29155,20033052,Passenger,Female,72,65_to_74
29156,20034121,Passenger,Female,64,40_to_64
29157,20034121,Passenger,Male,60,40_to_64
29158,20031238,Motorcycle rider,Female,24,17_to_25
29159,20035090,Pedestrian,Female,75,75_or_older
29160,20036038,Driver,Male,33,26_to_39
29161,20031037,Motorcycle rider,Male,23,17_to_25
29162,20034068,Passenger,Male,46,40_to_64
29163,20036033,Motorcycle rider,Male,46,40_to_64
29164,20033093,Pedal cyclist,Male,10,0_to_16
29165,20031449,Passenger,Male,42,40_to_64
29166,20033132,Pedestrian,Female,61,40_to_64
29167,20032090,Pedestrian,Male,15,0_to_16
29168,20031385,Driver,Male,55,40_to_64
29169,20035143,Motorcycle rider,Male,46,40_to_64
29170,20031156,Passenger,Female,77,75_or_older
29171,20031119,Passenger,Male,22,17_to_25
29172,20031313,Passenger,Male,19,17_to_25
29173,20032184,Passenger,Male,0,0_to_16
29174,20033265,Motorcycle rider,Male,36,26_to_39
29175,20035002,Motorcycle rider,Male,37,26_to_39
29176,20035053,Pedestrian,Female,70,65_to_74
29177,20031452,Motorcycle rider,Male,22,17_to_25
29178,20033262,Pedestrian,Female,37,26_to_39
29179,20031366,Driver,Male,39,26_to_39
29180,20032095,Driver,Male,56,40_to_64
29181,20033218,Motorcycle rider,Male,32,26_to_39
29182,20032275,Pedal cyclist,Male,5,0_to_16
29183,20035063,Driver,Male,77,75_or_older
29184,20031079,Driver,Male,47,40_to_64
29185,20033271,Driver,Male,49,40_to_64
29186,20032010,Driver,Male,22,17_to_25
29187,20031229,Driver,Female,21,17_to_25
29188,20031364,Pedestrian,Male,43,40_to_64
29189,20035129,Motorcycle rider,Male,41,40_to_64
29190,20034033,Pedestrian,Male,43,40_to_64
29191,20031169,Driver,Male,18,17_to_25
29192,20031346,Motorcycle rider,Male,55,40_to_64
29193,20031092,Pedestrian,Male,36,26_to_39
29194,20031257,Motorcycle rider,Male,29,26_to_39
29195,20031036,Driver,Male,41,40_to_64
29196,20035003,Driver,Male,18,17_to_25
29197,20034007,Passenger,Female,20,17_to_25
29198,20033064,Driver,Male,74,65_to_74
29199,20031042,Driver,Female,76,75_or_older
29200,20031042,Passenger,Female,74,65_to_74
29201,20035023,Driver,Male,19,17_to_25
29202,20033076,Motorcycle rider,Male,26,26_to_39
29203,20031144,Driver,Male,54,40_to_64
29204,20031144,Driver,Male,49,40_to_64
29205,20034112,Driver,Female,29,26_to_39
29206,20037012,Passenger,Male,7,0_to_16
29207,20037012,Passenger,Male,2,0_to_16
29208,20037012,Passenger,Female,8,0_to_16
29209,20031356,Driver,Male,20,17_to_25
29210,20035133,Driver,Male,81,75_or_older
29211,20032286,Driver,Male,53,40_to_64
29212,20031032,Driver,Male,50,40_to_64
29213,20031370,Passenger,Male,22,17_to_25
29214,20031370,Passenger,Male,25,17_to_25
29215,20031370,Driver,Male,27,26_to_39
29216,20031370,Passenger,Male,19,17_to_25
29217,20031080,Driver,Female,36,26_to_39
29218,20024133,Motorcycle rider,Male,23,17_to_25
29219,20027032,Motorcycle rider,Male,51,40_to_64
29220,20021221,Motorcycle rider,Male,43,40_to_64
29221,20022190,Driver,Female,50,40_to_64
29222,20022265,Driver,Male,56,40_to_64
29223,20024120,Pedestrian,Female,78,75_or_older
29224,20023031,Driver,Male,68,65_to_74
29225,20024101,Motorcycle rider,Male,27,26_to_39
29226,20022277,Driver,Male,64,40_to_64
29227,20022277,Driver,Female,68,65_to_74
